candidate_id,age,gender,education,years_experience,assessment_score,referral_source,role_applied,hired,skills_score,interview_score,projects_count,certifications_count,employment_gap_months,job_role,application_source,company_tier,college_tier,zip_code
CAND-001,24,Female,Master,3,57,Company Website,QA Engineer,0,86,47,0,2,0,tech,referral,2,3,59950
CAND-002,50,Male,Master,9,60,LinkedIn,Data Scientist,0,49,30,4,3,12,tech,portal,1,3,66361
CAND-003,45,Male,Bachelor,5,60,Company Website,Software Engineer,1,95,76,6,4,3,management,recruiter,3,3,71451
CAND-004,37,Female,Bachelor,10,67,LinkedIn,QA Engineer,0,55,67,11,4,0,non-tech,recruiter,2,2,47696
CAND-005,37,Female,Master,8,63,Employee Referral,Software Engineer,1,58,80,3,4,0,tech,referral,2,3,91641
CAND-006,53,Female,High School,9,54,Employee Referral,Software Engineer,0,37,92,3,3,0,tech,referral,2,3,78226
CAND-007,24,Non-binary,Bachelor,4,50,LinkedIn,QA Engineer,0,56,33,3,4,0,tech,recruiter,2,3,56728
CAND-008,47,Female,Bachelor,11,51,LinkedIn,Data Scientist,0,87,30,11,0,3,non-tech,recruiter,1,4,65401
CAND-009,28,Male,Master,2,47,Company Website,HR Analyst,0,36,37,5,4,0,tech,recruiter,2,4,76226
CAND-010,24,Male,High School,4,45,Employee Referral,Product Manager,0,64,58,6,1,0,non-tech,referral,2,5,35103
CAND-011,41,Male,Bachelor,6,47,Employee Referral,Product Manager,1,72,84,1,3,0,management,referral,2,2,44263
CAND-012,58,Female,Bachelor,16,72,Employee Referral,Data Scientist,0,36,32,4,1,36,tech,referral,3,1,86621
CAND-013,48,Male,Bachelor,10,70,Company Website,Software Engineer,1,98,61,3,4,6,tech,portal,2,3,60044
CAND-014,49,Female,High School,9,49,LinkedIn,HR Analyst,0,94,39,2,0,6,tech,referral,1,4,67730
CAND-015,48,Male,Bachelor,13,67,Company Website,Software Engineer,0,55,63,6,2,0,tech,recruiter,1,3,35825
CAND-016,50,Male,Bachelor,6,47,LinkedIn,Data Scientist,1,67,84,10,4,6,tech,referral,1,4,86256
CAND-017,40,Male,Bachelor,11,59,Employee Referral,Software Engineer,1,92,61,11,0,6,tech,referral,1,3,47271
CAND-018,25,Male,High School,1,41,LinkedIn,Software Engineer,0,56,79,5,3,3,management,referral,2,5,87256
CAND-019,52,Female,Bachelor,18,75,LinkedIn,Product Manager,0,83,36,6,1,36,tech,portal,1,5,56732
CAND-020,38,Male,Bachelor,6,50,Company Website,QA Engineer,0,93,37,4,1,0,tech,referral,1,1,76433
CAND-021,40,Female,High School,12,68,Company Website,QA Engineer,1,76,94,5,1,24,management,recruiter,1,3,92630
CAND-022,35,Male,Master,5,55,Company Website,QA Engineer,1,94,86,4,3,18,non-tech,portal,1,3,33572
CAND-023,27,Female,Bachelor,9,54,Company Website,Data Scientist,0,49,88,6,0,0,tech,portal,1,2,48546
CAND-024,56,Female,Master,17,62,Recruiter,Data Scientist,1,96,83,1,3,0,non-tech,recruiter,1,3,25150
CAND-025,50,Female,PhD,11,68,Employee Referral,Software Engineer,1,96,80,10,1,24,tech,portal,2,3,64165
CAND-026,45,Female,High School,4,57,Employee Referral,QA Engineer,0,81,37,4,4,0,non-tech,portal,2,2,73690
CAND-027,36,Female,Bachelor,9,61,Company Website,Data Scientist,0,96,63,5,2,3,non-tech,recruiter,1,3,63664
CAND-028,52,Male,Master,11,82,Company Website,Product Manager,0,85,64,5,3,24,non-tech,referral,2,3,92335
CAND-029,41,Male,Bachelor,10,72,Company Website,Software Engineer,1,89,61,4,3,3,tech,referral,2,1,85199
CAND-030,37,Female,Bachelor,7,54,Company Website,QA Engineer,1,98,75,9,0,0,non-tech,recruiter,1,3,46948
CAND-031,38,Female,Bachelor,8,55,LinkedIn,QA Engineer,0,37,45,6,0,3,tech,portal,1,2,47030
CAND-032,29,Female,High School,4,54,Company Website,QA Engineer,0,85,66,9,3,0,tech,referral,2,4,37007
